ticker,sim_id,runtime,pop_size,gen_count,open_date,close_date,open_price,close_price,best_fit,worst_fit,mean_fit,std_fit,best_elite_fit,worst_elite_fit,mean_elite_fit,std_elite_fit,trade_count,trade_net_earnings,trade_win_count,trade_net_gain,trade_lose_count,trade_net_loss,long_count,long_net_earnings,long_win_count,long_net_gain,long_lose_count,long_net_loss,short_count,short_net_earnings,short_win_count,short_net_gain,short_lose_count,short_net_loss,profit_factor,gain_to_pain,winning_pct,payout_ratio,cpc_index,expectancy,return_pct,kelly_pct,sharpe,treynor,sortino
MSFT,0,1.650843,1000,28,2011-04-13,2011-05-25,25.629999,24.190001,1.0186967457301601,0.976372827849203,1.00425359679102,0.012526257754198338,1.018040904798939,0.9888359539184205,1.0143004605093542,0.003345951443099456,667,28449.83825185618,606,29491.752832051563,606,-1041.914580195382,14,-249.49376997309358,2,2.4838695540815237,12,-251.97763952717509,653,28699.332021829276,604,29489.26896249748,49,-789.936940668207,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.823766,1000,29,2011-05-26,2011-07-08,24.67,26.92,1.0357088948667086,0.9639312547043761,0.9911560780026574,0.02172181855080645,1.008380936580307,0.9706580364875347,0.974954883244585,0.003473210967146748,632,-49835.4226874411,25,447.4253764292311,25,-50282.84806387034,20,191.09133723268235,14,263.51823927863165,6,-72.42690204594928,612,-50026.51402467379,11,183.90713715059945,601,-50210.42116182439,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.624728,1000,30,2011-07-11,2011-08-19,26.629999,24.049999,1.0395072505532381,0.9506920078501082,0.9932927134545858,0.025387301412856417,1.0274236620016108,0.9704198626586754,0.9723461640127,0.0055193734730585526,643,-55020.08481857831,12,512.7006523083605,12,-55532.78547088668,630,-55347.325986663076,3,106.02309944796262,627,-55453.34908611104,13,327.2411680847634,9,406.6775528603979,4,-79.43638477563442,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.772321,1000,31,2011-08-22,2011-10-03,23.98,24.530001,1.0225526098267932,0.9606930308985276,0.9996229446326186,0.004332586418122324,1.013603210779997,0.9722912980977435,0.9998435841813693,0.0024162761686914638,630,-312.44121687123993,408,4926.586166214804,408,-5239.027383086052,14,-165.2395109352291,3,32.19610887104882,11,-197.43561980627797,616,-147.20170593600875,405,4894.390057343755,211,-5041.591763279773,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.618543,1000,32,2011-10-04,2011-11-14,25.34,26.76,1.0220740840891371,0.9702216971424475,1.0019145661991873,0.009520802736215942,1.0215072332257864,0.9829463476895115,1.0084209267655486,0.005498068083088811,785,16736.266568117022,617,19468.416378437578,617,-2732.149810320579,665,17560.510541036554,576,18849.504419906552,89,-1288.9938788700083,120,-824.2439729195382,41,618.9119585310322,79,-1443.1559314505703,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.783784,1000,33,2011-11-15,2011-12-28,26.74,25.82,1.0191073278222975,0.9835918761295975,0.9988832680848541,0.003770491860600662,1.0164081238704024,0.9862500904501119,0.9973532324469749,0.003510309270576488,654,-5260.503309718524,249,3486.673766520274,249,-8747.17707623885,633,-5478.647626789369,235,3185.973454254727,398,-8664.621081044143,21,218.1443170708457,14,300.70031226555267,7,-82.55599519470695,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.667986,1000,34,2011-12-29,2012-02-10,26.02,30.5,1.052603275703414,0.9513605190760107,0.994302232555909,0.043023129986821555,1.0486394809239894,0.9513605190760107,0.9622588578893666,0.024125771566665823,632,-74995.88941202858,96,4932.817537076058,96,-79928.70694910464,91,4745.889814561727,78,4830.033374057221,13,-84.14355949549403,541,-79741.77922659031,18,102.78416301883708,523,-79844.56338960915,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.761923,1000,35,2012-02-13,2012-03-26,30.58,32.59,1.0374491500705938,0.9658390533020198,1.007998105016643,0.019322549804422696,1.028392075588702,0.9772389566865062,1.0221115980716595,0.004043891825737699,668,43995.58571018327,619,44622.35204990495,619,-626.7663397216809,635,44462.922068376785,610,44573.82085864595,25,-110.89879026916485,33,-467.33635819351827,9,48.53119125899771,24,-515.8675494525161,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.809322,1000,36,2012-03-27,2012-05-08,32.52,30.5,1.033420829814268,0.9750446574076279,0.9943896117175968,0.014018498335365009,1.0274992477843108,0.981154606571145,0.9847815768360972,0.005086936472578946,704,-30271.794123511016,57,1010.4009901852831,57,-31282.195113696303,662,-30779.706441273836,30,416.98221419655806,632,-31196.688655470396,42,507.91231776281825,27,593.4187759887253,15,-85.50645822590708,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.640507,1000,37,2012-05-09,2012-06-20,30.76,30.93,1.0304306795140425,0.9667628069713757,0.9992377960544846,0.005522477333721853,1.0149144000083923,0.9806762440908584,0.9992190999465721,0.003135759263145536,670,-1557.4738350443774,230,2750.471273741691,230,-4307.9451087860625,24,-4.125054642242752,9,191.19536132230292,15,-195.32041596454565,646,-1553.348780402135,221,2559.275912419388,425,-4112.6246928215205,0,0,0,0,0,0,0,0,0,0,0
MSFT,0,1.533759,1000,38,2012-06-21,2012-08-02,30.139999,29.190001,1.037087351544243,0.9532961780381789,0.9977126351780262,0.011617313239567216,1.035997596401275,0.9609511131183833,0.9897558436431275,0.008499064723154991,875,-20384.84222197628,112,2126.9911706529047,112,-22511.833392629163,652,-19538.097966133144,38,523.5598145509058,614,-20061.657780684047,223,-846.7442558431418,74,1603.4313561019987,149,-2450.17561194514,0,0,0,0,0,0,0,0,0,0,0
